title,distributor,summary,theaters_count,week_gross,total_gross,sales_ending_week
La Syndicaliste,Kino Lorber,A thriller investigation set in the world of nuclear power and politics.,1,$645,"$30,143",2024-01-11
The Seeding,Magnet Releasing,A man finds himself trapped in a desert canyon with a woman living off-grid who is captive to a pack of sadistic boys.,2,$374,"$4,974",2024-01-11
King Coal,Fourth Act Film,"The cultural roots of coal continue to permeate the rituals of daily life in Appalachia even as its economic power wanes. The journey of a coal miner's daughter exploring the region's dreams and myths, untangling the pain and beauty.",-,$370,"$54,051",2024-01-11
The Unknown Country,Music Box Films,An unexpected invitation rushes a grieving young woman into a lonely road trip through the American Midwest towards the border between Texas and Mexico.,1,$282,"$69,172",2024-01-11
Bob Marley: One Love,Paramount Pictures,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music.","3,536","$17,871,205","$17,871,205",2024-01-11
Argylle,Universal Pictures,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.,"3,605","$9,434,335","$31,748,480",2024-01-11
Madame Web,Columbia Pictures,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present.","4,013","$8,204,619","$8,204,619",2024-01-11
Lisa Frankenstein,Focus Features,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts.","3,144","$5,634,150","$5,634,150",2024-01-11
The Beekeeper,Metro-Goldwyn-Mayer (MGM),"A kind-hearted landlady commits suicide after falling victim to a phishing scam, leading former ""Beekeeper"" operative Adam Clay to set out on a brutal campaign for revenge upon those responsible.","3,057","$5,376,651","$56,641,503",2024-01-11
Anyone But You,Columbia Pictures,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.","2,805","$4,873,009","$82,296,912",2024-01-11
The Chosen: S4 Episodes 1-3,Fathom Events,"Triple bill including:
                        ","2,142","$4,457,694","$13,915,516",2024-01-11
Wonka,Warner Bros.,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.","2,764","$4,294,274","$206,421,297",2024-01-11
Migration,Universal Pictures,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.,"2,684","$3,948,550","$111,077,995",2024-01-11
Mean Girls,Paramount Pictures,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","2,620","$2,690,775","$69,940,119",2024-01-11
American Fiction,Metro-Goldwyn-Mayer (MGM),A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.,"1,462","$1,928,508","$17,968,990",2024-01-11
Poor Things,Searchlight Pictures,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.","1,300","$1,781,575","$30,933,024",2024-01-11
Aquaman and the Lost Kingdom,Warner Bros.,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.","1,363","$1,484,209","$122,735,802",2024-01-11
Out of Darkness,Bleecker Street Media,"In the Old Stone Age, a disparate gang of early humans band together in search of a new land. But when they suspect a malevolent, mystical being is hunting them down, the clan are forced to confront a danger they never envisioned.",897,"$1,381,289","$1,381,289",2024-01-11
Night Swim,Universal Pictures,"A family moves into a new home, unaware that a dark secret from the house's past will unleash a malevolent force in the backyard pool.","1,362","$1,314,355","$30,457,650",2024-01-11
The Boys in the Boat,Amazon MGM Studios,"A 1930s-set story centered on the University of Washington's rowing team, from their Depression-era beginnings.","1,107","$1,098,294","$51,299,985",2024-01-11
The Zone of Interest,A24,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.,598,"$1,056,665","$6,284,012",2024-01-11
Turning Red,Walt Disney Studios Motion Pictures,"A thirteen-year-old girl named Mei Lee is torn between staying her mother's dutiful daughter and the changes of adolescence. And as if the challenges were not enough, whenever she gets overly excited Mei transforms into a giant red panda.","1,560","$810,341","$810,341",2024-01-11
The Chosen: S4 Episodes 4-6,Fathom Events,"Triple bill including:
                        ","2,216","$783,380","$783,380",2024-01-11
Dune: Part OneIMAX,IMAX,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.","2,100","$570,000","$570,000",2024-01-11
The Taste of Things,IFC Films,"The story of Eugenie, an esteemed cook, and Dodin - the fine gourmet chef she has been working for over the last 20 years.",3,"$459,023","$459,023",2024-01-11
The Iron Claw,A24,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.",425,"$439,116","$34,853,797",2024-01-11
Origin,Neon,The unspoken system that has shaped America and chronicles how lives today are defined by a hierarchy of human divisions.,348,"$402,470","$4,142,662",2024-01-11
The Boy and the Heron,GKIDS,"In the wake of his mother's death and his father's remarriage, a headstrong boy ventures into a dreamlike world shared by the living and the dead in search of his missing stepmother.",265,"$368,580","$45,520,326",2024-01-11
The Teachers' Lounge,Sony Pictures Classics,"When one of her students is suspected of theft, teacher Carla Nowak decides to get to the bottom of the matter. Caught between her ideals and the school system, the consequences of her actions threaten to break her.",277,"$175,367","$451,252",2024-01-11
All of Us Strangers,Searchlight Pictures,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.,95,"$173,941","$3,816,637",2024-01-11
Jungle Bunch: Operation Meltdown,Viva Pictures,"When a mysterious Super-Villain covers the jungle with a toxic pink foam that explodes on contact with water, the Jungle Bunch is called to the rescue. With less than a month before the rainy season, the race is on.",584,"$159,240","$707,250",2024-01-11
Perfect Days,Neon,"Hirayama cleans public toilets in Tokyo, lives his life in simplicity and daily tranquility. Some encounters also lead him to reflect on himself.",6,"$155,151","$239,059",2024-01-11
Trolls Band Together,Universal Pictures,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd.",221,"$153,075","$102,706,555",2024-01-11
The Book of Clarence,Sony Pictures Releasing,"Struggling to find a better life, Clarence is captivated by the power of the rising Messiah and soon risks everything to carve a path to a divine existence.",190,"$107,655","$6,096,168",2024-01-11
The Color Purple,Warner Bros.,"A woman faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.",188,"$106,268","$60,525,125",2024-01-11
The Holdovers,Focus Features,"In 1970, a curmudgeonly history teacher at a New England boarding school remains on campus during Christmas break to supervise held over students, and ends up forming an unlikely bond with a brainy but damaged troublemaker.",270,"$102,670","$19,961,705",2024-01-11
Anatomy of a Fall,Neon,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.,150,"$98,794","$4,624,453",2024-01-11
The Monk and the Gun,A Contracorriente Films,"An American travels into Bhutan in search of a valuable antique rifle and crosses paths with a young monk who wanders through the serene mountains, instructed by his teacher to make things right again.",101,"$85,096","$85,096",2024-01-11
Oppenheimer,Universal Pictures,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",226,"$83,585","$328,926,905",2024-01-11
I.S.S.,Bleecker Street Media,"Tensions flare in the near future aboard the International Space Station as a conflict breaks out on Earth. Reeling, the U.S. and Russian astronauts receive orders from the ground: take control of the station by any means necessary.",217,"$82,856","$6,573,799",2024-01-11
Wish,Walt Disney Studios Motion Pictures,A young girl wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,105,"$69,787","$63,716,041",2024-01-11
Past Lives,A24,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",103,"$56,147","$11,331,983",2024-01-11
Sometimes I Think About Dying,Oscilloscope,"Fran, who likes to think about dying, makes the new guy at work laugh, which leads to dating and more. Now the only thing standing in their way is Fran herself.",11,"$46,150","$122,116",2024-01-11
Ferrari,Neon,"Set in the summer of 1957, with Enzo Ferrari's auto empire in crisis, the ex-racer turned entrepreneur pushes himself and his drivers to the edge as they launch into the Mille Miglia, a treacherous 1,000-mile race across Italy.",60,"$44,746","$18,550,028",2024-01-11
The Sweet East,Utopia,"A picaresque journey through the cities and woods of the Eastern seaboard of the U.S undertaken by Lillian, a high school senior from South Carolina. She gets her first glimpse of the wider world on a class trip to Washington, D.C.",41,"$44,743","$238,711",2024-01-11
Driving Madeleine,Cohen Media Group,"Madeleine, leaves small suburban to join a nursing home, on the other side of Paris. Charles, a taxi driver, comes to pick her and in no hurry to reach, she asks him to go through places of the capital, which have counted in her life.",46,"$38,291","$300,646",2024-01-11
The Promised Land,Magnolia Pictures,"The story of Danish soldier and explorer Ludvig Kahlen, who explored and cultivated Denmark's wild Jutland, which now comprises the vast majority of the country, in the mid-18th century.",53,"$34,205","$229,407",2024-01-11
Anselm,Janus Films,"Anselm Kiefer is one of the greatest contemporary artists. His past and present diffuse the line between film and painting, thus giving a unique cinematic experience that dives deep into an artist's work and reveals his life path.",14,"$31,576","$455,371",2024-01-11
Scrambled,Lionsgate,"A thirty-something eternal bridesmaid goes on an empowering, and often hilarious, journey of self-discovery.",214,"$31,570","$419,487",2024-01-11
Popular Theory,Blue Fox Entertainment,"Erwin, a girl genius, is the youngest student in high school. Unfortunately she struggles with social isolation. When she meets fellow science guru, Winston, they team up to invent a chemical that changes the high school hierarchy forever.",93,"$28,602","$28,602",2024-01-11
Killers of the Flower Moon,Paramount Pictures,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",144,"$25,660","$67,824,648",2024-01-11
Totem,Janus Films,"Seven-year-old Sol is spending the day at her grandfather's home, for a surprise party for Sol's father, Tonatiuh. As daylight fades, Sol comes to understand that her world is about to change dramatically.",12,"$21,329","$63,833",2024-01-11
Inheritance to Love,Purdie Distribution,An ex-couple are both set to inherit a lot of money if they can spend the week together in a remote cabin getaway.,20,"$14,033","$14,033",2024-01-11
Ennio,Music Box Films,A documentary on the legendary film composer Ennio Morricone.,1,"$12,060","$12,060",2024-01-11
Napoleon,Columbia Pictures,"An epic that details the chequered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",15,"$11,769","$61,524,375",2024-01-11
Four Daughters,Kino Lorber,"Between light and darkness stands Olfa, a Tunisian woman and the mother of four daughters. One day, her two older daughters disappear. Filmmaker Kaouther Ben Hania invites professional actresses to fill in their absence.",15,"$11,230","$100,889",2024-01-11
Hundreds of Beavers,SRH,"In this 19th century, supernatural winter epic, a drunken applejack salesman must go from zero to hero and become North America's greatest fur trapper by defeating hundreds of beavers.",5,"$10,172","$41,431",2024-01-11
The Peasants,Sony Pictures Classics,"Jagna is a young woman determined to forge her own path in a late 19th century Polish village - a hotbed of gossip and on-going feuds, held together, rich and poor, by adherence to colorful traditions and deep-rooted patriarchy.",10,"$7,732","$45,982",2024-01-11
Bushman2024 Re-release,Kino Lorber,"In 1968's tumult, a Nigerian student in San Francisco experiences clashing cultures and elucidates society's ineptitude at living humanely.",4,"$7,638","$18,017",2024-01-11
Freud's Last Session,Sony Pictures Releasing,"Psychoanalyst Sigmund Freud invites professor C.S. Lewis to debate the existence of God, Freud's unique relationship with his daughter, and Lewis' unconventional relationship with his best friend's mother.",13,"$7,582","$852,297",2024-01-11
Inside the Yellow Cocoon Shell,Kino Lorber,"A man returns to his hometown, where he's haunted by past memories and desires.",10,"$6,442","$63,025",2024-01-11
Drift,Utopia,"When Jacqueline escapes her war-torn country to a Greek island, she meets an unmoored tour guide and the two become close as each finds hope in the other.",1,"$5,245","$5,245",2024-01-11
Menus-Plaisirs - Les Troisgros,Zipporah Films,A 93-year-old director embeds inside a French restaurant that's held three Michelin stars for more than 50 years.,5,"$4,750","$131,658",2024-01-11
The Crime Is Mine,Music Box Films,"Paris, France, 1935, and a young actress has just been acquitted of murdering a famous French Producer. However, this is where the story just begins. Is she really innocent?, or has she gotten away with Murder?",4,"$4,140","$98,412",2024-01-11
Dream Scenario,A24,An ordinary family man finds his life turned upside down when strangers suddenly start seeing him in their dreams.,3,"$3,709","$5,738,650",2024-01-11
Sex-Positive,Entertainment Squad,"Virginia tumbles into a wild and thrilling new world of sexual liberation when she moves in with a group of polyamorous party animals, including the charming but commitment-phobic Jake.",20,"$3,265","$3,265",2024-01-11
Disco Boy,Big World Pictures,"After a painful journey through Europe, Aleksei arrives in Paris to join the Foreign Legion. Meanwhile, in the Niger Delta, Jomo struggles against the oil companies threatening his village and the lives of his family.",3,"$3,191","$6,979",2024-01-11
Fitting In,Blue Fox Entertainment,"A teen girl is diagnosed with a reproductive condition that upends her plans to have a sex life, propelling her to explore unusual methods. Her relationships are challenged with everyone in her life, but most importantly, herself.",17,"$2,980","$86,875",2024-01-11
Priscilla,A24,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend.",2,"$2,885","$20,960,939",2024-01-11
The Pianist2024 Re-release,Rialto Pictures,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",2,"$2,357","$13,541",2024-01-11
Weak Layers,Greenwich Entertainment,Three party-loving best friends set out to win a ski-movie competition. An uproarious comedy that takes on the male-dominated ski industry.,5,"$1,813","$154,445",2024-01-11
Skin Deep,Kino Lorber,"At first glance, Leyla and Tristan seem like a happy young couple. But when they travel to a mysterious, remote island, a game of identities begins, which changes everything.",3,"$1,809","$8,098",2024-01-11
One from the Heart: Reprise2024 Re-release,Rialto Pictures,"A couple has a fight after living together 5 years in Las Vegas. They go out and celebrate 4th of July, each with a new partner. Breakup?",3,"$1,657","$42,737",2024-01-11
Household Saints2024 Re-release,Kino Lorber,Unsettling drama about three generations of Italian-American women struggling to get by in post-World War II New York's Little Italy.,3,"$1,212","$24,511",2024-01-11
The Oath,Freestyle Releasing,"400 A.D., in a forgotten time of Ancient America, a lone Hebraic fugitive must preserve the history of his fallen nation while being hunted by a ruthless tyrant. But rescuing the King's abused mistress could awaken a warrior's past.",1,"$1,133","$498,726",2024-01-11
Peeping Tom2023 Re-release,N/A,"A young man murders women, using a movie camera to film their dying expressions of terror.",1,$797,"$36,598",2024-01-11
The Shift,Angel Studios,"After meeting a mysterious stranger, a man must escape a dystopian world to return to his wife.",2,$342,"$12,116,596",2024-01-11
Stop Making Sense2023  Re-release,-,A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,2,$241,"$5,211,310",2024-01-11
Godard Cinema,Kino Lorber,"Jean-Luc Godard is cinema, its quintessence. Having just turned 91, he has made more than 140 films. We hate him as much as we worship him. Where does his aura come from? From legendary films of course, but also from Godard himself.",1,$72,"$22,829",2024-01-11
Bob Marley: One Love,Paramount Pictures,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music.","3,539","$39,817,491","$57,688,696",2024-01-11
Madame Web,Columbia Pictures,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present.","4,013","$21,241,355","$29,445,974",2024-01-11
Argylle,Universal Pictures,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.,"3,647","$7,143,105","$38,891,585",2024-01-11
Migration,Universal Pictures,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.,"2,455","$6,367,890","$117,445,885",2024-01-11
Wonka,Warner Bros.,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.","2,347","$5,590,532","$212,011,829",2024-01-11
The Chosen: S4 Episodes 4-6,Fathom Events,"Triple bill including:
                        ","2,272","$5,322,126","$6,105,506",2024-01-11
The Beekeeper,Metro-Goldwyn-Mayer (MGM),"A kind-hearted landlady commits suicide after falling victim to a phishing scam, leading former ""Beekeeper"" operative Adam Clay to set out on a brutal campaign for revenge upon those responsible.","2,557","$4,540,930","$61,182,433",2024-01-11
Anyone But You,Columbia Pictures,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.","2,020","$3,448,045","$85,744,957",2024-01-11
Lisa Frankenstein,Focus Features,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts.","3,143","$3,120,280","$8,754,430",2024-01-11
Land of Bad,The Avenue Entertainment,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.,"1,130","$2,612,155","$2,612,155",2024-01-11
Mean Girls,Paramount Pictures,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","1,350","$1,742,408","$71,682,527",2024-01-11
American Fiction,Metro-Goldwyn-Mayer (MGM),A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.,803,"$1,470,985","$19,439,975",2024-01-11
Poor Things,Searchlight Pictures,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",680,"$1,399,741","$32,332,765",2024-01-11
2024 Oscar Nominated Short Films: Documentary,ShortsTV,"
            Latest Updates:
            News |
            Daily |
            Weekend |
            All Time |
            International |
            Showdowns",367,"$1,350,020","$1,350,020",2024-01-11
Aquaman and the Lost Kingdom,Warner Bros.,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.",856,"$1,055,869","$123,791,671",2024-01-11
The Taste of Things,IFC Films,"The story of Eugenie, an esteemed cook, and Dodin - the fine gourmet chef she has been working for over the last 20 years.",505,"$1,018,480","$1,477,503",2024-01-11
Night Swim,Universal Pictures,"A family moves into a new home, unaware that a dark secret from the house's past will unleash a malevolent force in the backyard pool.",981,"$1,005,500","$31,463,150",2024-01-11
The Zone of Interest,A24,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.,443,"$856,332","$7,140,344",2024-01-11
The Boys in the Boat,Amazon MGM Studios,"A 1930s-set story centered on the University of Washington's rowing team, from their Depression-era beginnings.",586,"$793,759","$52,093,744",2024-01-11
Turning Red,Walt Disney Studios Motion Pictures,"A thirteen-year-old girl named Mei Lee is torn between staying her mother's dutiful daughter and the changes of adolescence. And as if the challenges were not enough, whenever she gets overly excited Mei transforms into a giant red panda.","1,560","$588,660","$1,399,001",2024-01-11
Out of Darkness,Bleecker Street Media,"In the Old Stone Age, a disparate gang of early humans band together in search of a new land. But when they suspect a malevolent, mystical being is hunting them down, the clan are forced to confront a danger they never envisioned.",865,"$535,435","$1,916,724",2024-01-11
Perfect Days,Neon,"Hirayama cleans public toilets in Tokyo, lives his life in simplicity and daily tranquility. Some encounters also lead him to reflect on himself.",34,"$436,689","$675,748",2024-01-11
The Boy and the Heron,GKIDS,"In the wake of his mother's death and his father's remarriage, a headstrong boy ventures into a dreamlike world shared by the living and the dead in search of his missing stepmother.",175,"$311,447","$45,831,773",2024-01-11
Amélie2024 Re-release,Sony Pictures Releasing,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",216,"$258,926","$404,926",2024-01-11
Origin,Neon,The unspoken system that has shaped America and chronicles how lives today are defined by a hierarchy of human divisions.,127,"$249,269","$4,391,931",2024-01-11
Trolls Band Together,Universal Pictures,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd.",158,"$192,850","$102,899,405",2024-01-11
The Iron Claw,A24,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.",146,"$172,832","$35,026,629",2024-01-11
All of Us Strangers,Searchlight Pictures,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.,50,"$121,323","$3,937,960",2024-01-11
Wish,Walt Disney Studios Motion Pictures,A young girl wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,75,"$108,128","$63,824,169",2024-01-11
No Way Up,Nashe Kino,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,78,"$107,647","$107,647",2024-01-11
The Color Purple,Warner Bros.,"A woman faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.",258,"$94,066","$60,619,191",2024-01-11
Anatomy of a Fall,Neon,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.,105,"$92,520","$4,716,973",2024-01-11
The Holdovers,Focus Features,"In 1970, a curmudgeonly history teacher at a New England boarding school remains on campus during Christmas break to supervise held over students, and ends up forming an unlikely bond with a brainy but damaged troublemaker.",168,"$85,635","$20,047,340",2024-01-11
The Teachers' Lounge,Sony Pictures Classics,"When one of her students is suspected of theft, teacher Carla Nowak decides to get to the bottom of the matter. Caught between her ideals and the school system, the consequences of her actions threaten to break her.",99,"$76,759","$528,011",2024-01-11
Jungle Bunch: Operation Meltdown,Viva Pictures,"When a mysterious Super-Villain covers the jungle with a toxic pink foam that explodes on contact with water, the Jungle Bunch is called to the rescue. With less than a month before the rainy season, the race is on.",109,"$72,929","$780,179",2024-01-11
God & Country,Oscilloscope,"Looks at the implications of Christian Nationalism and how it distorts not only the constitutional republic, but Christianity itself.",85,"$60,464","$60,464",2024-01-11
Oppenheimer,Universal Pictures,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",159,"$56,465","$328,983,370",2024-01-11
The Sweet East,Utopia,"A picaresque journey through the cities and woods of the Eastern seaboard of the U.S undertaken by Lillian, a high school senior from South Carolina. She gets her first glimpse of the wider world on a class trip to Washington, D.C.",35,"$39,373","$278,084",2024-01-11
The Book of Clarence,Sony Pictures Releasing,"Struggling to find a better life, Clarence is captivated by the power of the rising Messiah and soon risks everything to carve a path to a divine existence.",41,"$36,645","$6,132,813",2024-01-11
The Monk and the Gun,A Contracorriente Films,"An American travels into Bhutan in search of a valuable antique rifle and crosses paths with a young monk who wanders through the serene mountains, instructed by his teacher to make things right again.",40,"$34,502","$119,598",2024-01-11
Altered Reality,K Street Pictures,"Oliver's life transforms when gifted a not-yet-existing miracle drug. Riches, unscrupulous pacts, and morphing of past and present create this 'Altered Reality, ' a gripping tale of redemption and choices.",112,"$30,800","$30,800",2024-01-11
Killers of the Flower Moon,Paramount Pictures,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",119,"$22,897","$67,847,545",2024-01-11
Nostalghia2024 Re-release,Kino Lorber,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.",1,"$22,872","$22,872",2024-01-11
The Promised Land,Magnolia Pictures,"The story of Danish soldier and explorer Ludvig Kahlen, who explored and cultivated Denmark's wild Jutland, which now comprises the vast majority of the country, in the mid-18th century.",20,"$21,862","$251,269",2024-01-11
Anselm,Janus Films,"Anselm Kiefer is one of the greatest contemporary artists. His past and present diffuse the line between film and painting, thus giving a unique cinematic experience that dives deep into an artist's work and reveals his life path.",15,"$15,630","$471,001",2024-01-11
Inheritance to Love,Purdie Distribution,An ex-couple are both set to inherit a lot of money if they can spend the week together in a remote cabin getaway.,12,"$13,272","$27,305",2024-01-11
The Peasants,Sony Pictures Classics,"Jagna is a young woman determined to forge her own path in a late 19th century Polish village - a hotbed of gossip and on-going feuds, held together, rich and poor, by adherence to colorful traditions and deep-rooted patriarchy.",9,"$13,056","$59,038",2024-01-11
Totem,Janus Films,"Seven-year-old Sol is spending the day at her grandfather's home, for a surprise party for Sol's father, Tonatiuh. As daylight fades, Sol comes to understand that her world is about to change dramatically.",7,"$12,563","$76,396",2024-01-11
Freud's Last Session,Sony Pictures Releasing,"Psychoanalyst Sigmund Freud invites professor C.S. Lewis to debate the existence of God, Freud's unique relationship with his daughter, and Lewis' unconventional relationship with his best friend's mother.",8,"$10,987","$863,284",2024-01-11
Ennio,Music Box Films,A documentary on the legendary film composer Ennio Morricone.,3,"$10,406","$22,466",2024-01-11
Sometimes I Think About Dying,Oscilloscope,"Fran, who likes to think about dying, makes the new guy at work laugh, which leads to dating and more. Now the only thing standing in their way is Fran herself.",16,"$8,341","$130,457",2024-01-11
Popular Theory,Blue Fox Entertainment,"Erwin, a girl genius, is the youngest student in high school. Unfortunately she struggles with social isolation. When she meets fellow science guru, Winston, they team up to invent a chemical that changes the high school hierarchy forever.",33,"$7,048","$35,650",2024-01-11
Hundreds of Beavers,SRH,"In this 19th century, supernatural winter epic, a drunken applejack salesman must go from zero to hero and become North America's greatest fur trapper by defeating hundreds of beavers.",4,"$5,779","$47,210",2024-01-11
Four Daughters,Kino Lorber,"Between light and darkness stands Olfa, a Tunisian woman and the mother of four daughters. One day, her two older daughters disappear. Filmmaker Kaouther Ben Hania invites professional actresses to fill in their absence.",10,"$5,157","$106,046",2024-01-11
Bushman2024 Re-release,Kino Lorber,"In 1968's tumult, a Nigerian student in San Francisco experiences clashing cultures and elucidates society's ineptitude at living humanely.",3,"$4,392","$22,409",2024-01-11
Scrambled,Lionsgate,"A thirty-something eternal bridesmaid goes on an empowering, and often hilarious, journey of self-discovery.",11,"$2,387","$421,874",2024-01-11
Drift,Utopia,"When Jacqueline escapes her war-torn country to a Greek island, she meets an unmoored tour guide and the two become close as each finds hope in the other.",2,"$2,246","$7,491",2024-01-11
The Crime Is Mine,Music Box Films,"Paris, France, 1935, and a young actress has just been acquitted of murdering a famous French Producer. However, this is where the story just begins. Is she really innocent?, or has she gotten away with Murder?",4,"$2,015","$100,427",2024-01-11
Inside the Yellow Cocoon Shell,Kino Lorber,"A man returns to his hometown, where he's haunted by past memories and desires.",6,"$1,992","$65,017",2024-01-11
One from the Heart: Reprise2024 Re-release,Rialto Pictures,"A couple has a fight after living together 5 years in Las Vegas. They go out and celebrate 4th of July, each with a new partner. Breakup?",1,"$1,558","$44,295",2024-01-11
The Oath,Freestyle Releasing,"400 A.D., in a forgotten time of Ancient America, a lone Hebraic fugitive must preserve the history of his fallen nation while being hunted by a ruthless tyrant. But rescuing the King's abused mistress could awaken a warrior's past.",1,"$1,526","$500,252",2024-01-11
Disco Boy,Big World Pictures,"After a painful journey through Europe, Aleksei arrives in Paris to join the Foreign Legion. Meanwhile, in the Niger Delta, Jomo struggles against the oil companies threatening his village and the lives of his family.",1,"$1,200","$8,179",2024-01-11
The Shift,Angel Studios,"After meeting a mysterious stranger, a man must escape a dystopian world to return to his wife.",3,$779,"$12,117,375",2024-01-11
