title,distributor,summary,theaters_count,week_gross,total_gross,sales_ending_week
Monster,Well Go USA Entertainment,A mother demands answers from her son's teacher when her son begins acting strangely.,10,"$30,831","$364,785",2024-01-11
Freud's Last Session,Sony Pictures Releasing,"Psychoanalyst Sigmund Freud invites professor C.S. Lewis to debate the existence of God, Freud's unique relationship with his daughter, and Lewis' unconventional relationship with his best friend's mother.",10,"$25,318","$99,770",2024-01-11
Great Pretender: Razbliuto,Sony Pictures Releasing,"Presumed dead, master con artist and recovering amnesiac Dorothy is discovered by Shanghai Longu-bang, a mob who wants payback for her conning them.",25,"$22,624","$22,624",2024-01-11
Radical,Pantelion Films,"A teacher in a Mexican border town full of neglect, corruption, and violence, tries a radical new method to unlock their students' curiosity, potential - and maybe even their genius.",20,"$21,683","$8,672,767",2024-01-11
The Teachers' Lounge,Sony Pictures Classics,"When one of her students is suspected of theft, teacher Carla Nowak decides to get to the bottom of the matter. Caught between her ideals and the school system, the consequences of her actions threaten to break her.",3,"$19,995","$61,631",2024-01-11
Priscilla,A24,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend.",21,"$17,986","$20,930,317",2024-01-11
Menus-Plaisirs - Les Troisgros,Zipporah Films,A 93-year-old director embeds inside a French restaurant that's held three Michelin stars for more than 50 years.,10,"$17,012","$100,866",2024-01-11
The Sweet East,Utopia,"A picaresque journey through the cities and woods of the Eastern seaboard of the U.S undertaken by Lillian, a high school senior from South Carolina. She gets her first glimpse of the wider world on a class trip to Washington, D.C.",3,"$12,035","$107,311",2024-01-11
The Crime Is Mine,Music Box Films,"Paris, France, 1935, and a young actress has just been acquitted of murdering a famous French Producer. However, this is where the story just begins. Is she really innocent?, or has she gotten away with Murder?",4,"$11,632","$38,759",2024-01-11
Thanksgiving,TriStar Pictures,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts, the birthplace of the infamous holiday.",28,"$8,607","$31,822,151",2024-01-11
Mayhem!,IFC Films,"A model prisoner's leave ends in tragedy when his past resurfaces, forcing him to flee. He starts over in Thailand, until a local criminal coerces him back into crime. After this man attacks his family, he vows revenge.",24,"$8,510","$8,510",2024-01-11
Questions,Entertainment Squad,A comedy about a regular guy who in three years hasn't figured out what makes his girlfriend tick so that he can save the relationship. Now he has one week to figure out what makes all women tick so that he can save himself.,20,"$7,181","$7,181",2024-01-11
Immediate Family,Magnolia Pictures,Documentary follows the work and lives of legendary 1970s session musicians who were featured on some of the most iconic recordings of the era.,4,"$6,683","$65,637",2024-01-11
The Oath,Freestyle Releasing,"400 A.D., in a forgotten time of Ancient America, a lone Hebraic fugitive must preserve the history of his fallen nation while being hunted by a ruthless tyrant. But rescuing the King's abused mistress could awaken a warrior's past.",8,"$6,505","$482,454",2024-01-11
Past Lives,A24,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",3,"$5,314","$11,038,971",2024-01-11
Barbie,Warner Bros.,"Barbie and Ken are having the time of their lives in the seemingly perfect world of Barbie Land. However, when they get a chance to go to the outside world, they soon discover the joys and perils of living among regular humans.",13,"$5,095","$636,233,117",2024-01-11
Smoke Sauna Sisterhood,Greenwich Entertainment,"In the darkness of a smoke sauna, women share their innermost secrets and intimate experiences, washing off the shame trapped in their bodies and regaining their strength through a sense of communion.",5,"$4,838","$19,839",2024-01-11
